Randomizer Version: 4.1.0
Random Seed: 240989149044460
Settings String: 314WQMBDgLuAfEB9AGSAAIeIQgBagYANABAAR8aEgAAAAAABAKIMgQywYsICTIGBgAyE1Bva2Vtb24gQmxhY2sgMiAoVSmlUnh848M4ig==

--Randomized Evolutions--
Bulbasaur       -> Lotad          
Ivysaur         -> Ludicolo       
Charmander      -> Luxray         
Charmeleon      -> Charmander     
Squirtle        -> Blastoise      
Wartortle       -> Seismitoad     
Caterpie        -> Grimer         
Metapod         -> Swoobat        
Weedle          -> Ninetales      
Kakuna          -> Shellos        
Pidgey          -> Serperior      
Pidgeotto       -> Grotle         
Rattata         -> Furret         
Spearow         -> Rapidash       
Ekans           -> Sudowoodo      
Pikachu         -> Porygon        
Sandshrew       -> Ditto          
Nidoran♀        -> Nidoqueen      
Nidorina        -> Gothorita      
Nidoran♂        -> Oshawott       
Nidorino        -> Staraptor      
Clefairy        -> Grumpig        
Vulpix          -> Sandslash      
Jigglypuff      -> Delibird       
Zubat           -> Lilligant      
Golbat          -> Ekans          
Oddish          -> Flaaffy        
Gloom           -> Croconaw and Lombre
Paras           -> Kingler        
Venonat         -> Frillish       
Diglett         -> Skuntank       
Meowth          -> Magnemite      
Psyduck         -> Goldeen        
Mankey          -> Mothim         
Growlithe       -> Jirachi        
Poliwag         -> Riolu          
Poliwhirl       -> Poliwrath and Duosion
Abra            -> Spheal         
Kadabra         -> Blaziken       
Machop          -> Machamp        
Machoke         -> Alakazam       
Bellsprout      -> Empoleon       
Weepinbell      -> Samurott       
Tentacool       -> Rhydon         
Geodude         -> Krookodile     
Graveler        -> Politoed       
Ponyta          -> Swanna         
Slowpoke        -> Ponyta and Fearow
Magnemite       -> Muk            
Magneton        -> Unown          
Doduo           -> Camerupt       
Seel            -> Yanma          
Grimer          -> Parasect       
Shellder        -> Regice         
Gastly          -> Chimchar       
Haunter         -> Stoutland      
Onix            -> Paras          
Drowzee         -> Golurk         
Krabby          -> Steelix        
Voltorb         -> Omastar        
Exeggcute       -> Ho-Oh          
Cubone          -> Marowak        
Lickitung       -> Bronzong       
Koffing         -> Sigilyph       
Rhyhorn         -> Axew           
Rhydon          -> Tentacruel     
Chansey         -> Ledian         
Tangela         -> Sandshrew      
Horsea          -> Seadra         
Seadra          -> Kingdra        
Goldeen         -> Hitmonchan     
Staryu          -> Starmie        
Scyther         -> Druddigon      
Electabuzz      -> Elekid         
Magmar          -> Heatmor        
Magikarp        -> Moltres        
Eevee           -> Floatzel, Woobat, Dodrio, Bibarel, Vulpix, Spearow and Amoonguss
Porygon         -> Throh          
Omanyte         -> Simipour       
Kabuto          -> Dunsparce      
Dratini         -> Skarmory       
Dragonair       -> Heatran        
Chikorita       -> Weepinbell     
Bayleef         -> Krokorok       
Cyndaquil       -> Pidgey         
Quilava         -> Serperior      
Totodile        -> Venusaur       
Croconaw        -> Feraligatr     
Sentret         -> Minun          
Hoothoot        -> Noctowl        
Ledyba          -> Dusknoir       
Spinarak        -> Ariados        
Chinchou        -> Zweilous       
Pichu           -> Hitmonlee      
Cleffa          -> Spoink         
Igglybuff       -> Wigglytuff     
Togepi          -> Purugly        
Togetic         -> Munna          
Natu            -> Diglett        
Mareep          -> Combusken      
Flaaffy         -> Zoroark        
Marill          -> Banette        
Hoppip          -> Skiploom       
Skiploom        -> Roserade       
Aipom           -> Ambipom        
Sunkern         -> Scolipede      
Yanma           -> Crobat         
Wooper          -> Accelgor       
Murkrow         -> Infernape      
Misdreavus      -> Aipom          
Pineco          -> Golduck        
Gligar          -> Gliscor        
Snubbull        -> Skitty         
Sneasel         -> Weavile        
Teddiursa       -> Elgyem         
Slugma          -> Snorunt        
Swinub          -> Eelektross     
Piloswine       -> Mamoswine      
Remoraid        -> Medicham       
Houndour        -> Staryu         
Phanpy          -> Cryogonal      
Porygon2        -> Archeops       
Tyrogue         -> Crustle, Basculin and Wingull
Smoochum        -> Hitmontop      
Elekid          -> Spiritomb      
Magby           -> Cofagrigus     
Larvitar        -> Beldum         
Pupitar         -> Metang         
Treecko         -> Sneasel        
Grovyle         -> Gothitelle     
Torchic         -> Cacturne       
Combusken       -> Sableye        
Mudkip          -> Swampert       
Marshtomp       -> Taillow        
Poochyena       -> Quagsire       
Zigzagoon       -> Probopass      
Wurmple         -> Stunky and Magmar
Silcoon         -> Smoochum       
Cascoon         -> Beartic        
Lotad           -> Zoroark        
Lombre          -> Conkeldurr     
Seedot          -> Klinklang      
Nuzleaf         -> Murkrow        
Taillow         -> Swellow        
Wingull         -> Froslass       
Ralts           -> Phione         
Kirlia          -> Vanillish and Cresselia
Surskit         -> Raticate       
Shroomish       -> Breloom        
Slakoth         -> Heracross      
Vigoroth        -> Tyranitar      
Nincada         -> Feebas and Ninjask
Whismur         -> Staravia       
Loudred         -> Bellossom      
Makuhita        -> Hariyama       
Azurill         -> Shuppet        
Nosepass        -> Rattata        
Skitty          -> Chimecho       
Aron            -> Carvanha       
Lairon          -> Haxorus        
Meditite        -> Remoraid       
Electrike       -> Manectric      
Roselia         -> Unfezant       
Gulpin          -> Swalot         
Carvanha        -> Aggron         
Wailmer         -> Seviper        
Numel           -> Croagunk       
Spoink          -> Clefable       
Trapinch        -> Absol          
Vibrava         -> Walrein        
Cacnea          -> Shuckle        
Swablu          -> Lumineon       
Barboach        -> Archen         
Corphish        -> Crawdaunt      
Baltoy          -> Claydol        
Lileep          -> Cradily        
Anorith         -> Armaldo        
Feebas          -> Zangoose       
